question_id,question_type,expected_answerable,needs_human_review,latency_ms,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,recall_at_10
TF001,fact_specific,True,False,0.46780000047874637,0.0,1.0,1.0,1.0,0.5,1.0
TF002,paraphrase,True,False,0.3518999983498361,1.0,1.0,1.0,1.0,1.0,1.0
TF003,product_specific,True,False,0.3332999986014329,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TF004,product_specific,True,False,0.33009999970090576,0.0,0.0,1.0,1.0,0.25,1.0
TF005,temporal,True,False,0.3660000002128072,1.0,1.0,1.0,1.0,1.0,1.0
TF006,temporal,True,False,0.4103999999642838,1.0,1.0,1.0,1.0,1.0,1.0
TF007,temporal,True,False,0.8362000007764436,0.0,0.0,0.0,0.0,0.0,0.0
TF008,product_specific,True,False,0.34589999995660037,0.0,1.0,1.0,1.0,0.5,1.0
TF009,product_specific,True,False,0.3781000013987068,0.0,1.0,1.0,1.0,0.5,0.5
TF010,product_specific,True,False,0.3358000030857511,1.0,1.0,1.0,1.0,1.0,1.0
TF011,paraphrase,True,False,0.4144000013184268,0.0,0.0,0.0,0.0,0.0,0.0
TF012,product_specific,True,False,0.38219999987632036,0.0,1.0,1.0,1.0,0.5,1.0
TF013,product_specific,True,False,0.40019999869400635,0.0,0.0,1.0,1.0,0.25,1.0
TF014,temporal,True,False,0.39509999987785704,1.0,1.0,1.0,1.0,1.0,1.0
TF015,product_specific,True,False,0.32080000164569356,0.0,1.0,1.0,1.0,0.5,1.0
TF016,paraphrase,True,False,2.653299998200964,0.0,0.0,1.0,1.0,0.2,1.0
TF017,procedure,True,False,0.3790000009757932,0.0,1.0,1.0,1.0,0.5,0.7142857142857143
TF018,temporal,True,False,0.35800000114249997,1.0,1.0,1.0,1.0,1.0,1.0
TF019,preparation,True,False,0.506899999891175,1.0,1.0,1.0,1.0,1.0,1.0
TF020,temporal,True,False,0.4050999996252358,1.0,1.0,1.0,1.0,1.0,1.0
TF021,preparation,True,False,0.3557999989425298,1.0,1.0,1.0,1.0,1.0,1.0
TF022,preparation,True,False,0.4810999998881016,0.0,0.0,0.0,1.0,0.125,0.5
TF023,temporal,True,False,0.2936000018962659,0.0,0.0,1.0,1.0,0.25,1.0
TF024,temporal,True,False,0.2812999991874676,0.0,0.0,0.0,0.0,0.0,0.0
TF025,fact_specific,True,False,0.39110000216169283,0.0,1.0,1.0,1.0,0.5,1.0
TF026,fact_specific,True,False,0.35510000088834204,1.0,1.0,1.0,1.0,1.0,1.0
TF027,procedure,True,True,0.3770000002987217,0.0,0.0,0.0,0.0,0.0,0.0
TF028,preparation,True,False,0.3866000006382819,0.0,0.0,0.0,1.0,0.14285714285714285,1.0
TF029,preparation,True,False,0.42499999835854396,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TF030,temporal,True,False,0.38050000148359686,0.0,0.0,0.0,0.0,0.0,0.0
TF031,procedure,True,False,0.400099997932557,0.0,1.0,1.0,1.0,0.5,1.0
TF032,fact_specific,True,False,0.3952000006393064,1.0,1.0,1.0,1.0,1.0,1.0
TF033,fact_specific,True,False,0.37629999860655516,1.0,1.0,1.0,1.0,1.0,1.0
TF034,product_specific,True,False,2.482600000803359,1.0,1.0,1.0,1.0,1.0,1.0
TF035,paraphrase,True,False,0.3938999980164226,0.0,1.0,1.0,1.0,0.5,1.0
TF036,monitoring,True,False,0.42560000292724,1.0,1.0,1.0,1.0,1.0,1.0
TF037,adverse_reaction,True,False,0.3299000018159859,1.0,1.0,1.0,1.0,1.0,1.0
TF038,adverse_reaction,True,False,0.2784000025712885,0.0,1.0,1.0,1.0,0.5,1.0
TF039,adverse_reaction,True,False,0.31229999876813963,0.0,1.0,1.0,1.0,0.5,1.0
TF040,adverse_reaction,True,False,0.3634000022429973,1.0,1.0,1.0,1.0,1.0,1.0
TF041,adverse_reaction,True,False,0.32029999783844687,1.0,1.0,1.0,1.0,1.0,1.0
TF042,procedure,True,False,0.3758000020752661,0.0,0.0,1.0,1.0,0.25,1.0
TF043,procedure,True,False,0.4055999997945037,0.0,0.0,0.0,0.0,0.0,0.0
TF044,fact_specific,True,False,0.43419999929028563,0.0,0.0,0.0,0.0,0.0,0.0
TF045,paraphrase,True,False,0.34840000080293976,0.0,0.0,0.0,1.0,0.1,1.0
TN001,negative_out_of_scope,False,False,0.26669999715522863,,,,,,
TN002,negative_out_of_scope,False,False,0.27039999986300245,,,,,,
TN003,negative_out_of_scope,False,False,0.25599999935366213,,,,,,
TN004,negative_out_of_scope,False,False,0.24140000095940195,,,,,,
TN005,negative_out_of_scope,False,False,0.2590000003692694,,,,,,
TP001,product_specific,True,False,0.31820000003790483,0.0,0.0,1.0,1.0,0.25,0.5
TP002,product_specific,True,False,0.32139999893843196,0.0,0.0,0.0,0.0,0.0,0.0
TP003,temporal,True,False,0.3378000001248438,1.0,1.0,1.0,1.0,1.0,1.0
TP004,temporal,True,False,0.3633999986050185,1.0,1.0,1.0,1.0,1.0,1.0
TP005,temporal,True,False,0.3573000030883122,1.0,1.0,1.0,1.0,1.0,1.0
TP006,product_specific,True,False,0.47510000149486586,1.0,1.0,1.0,1.0,1.0,1.0
TP007,product_specific,True,False,0.37090000114403665,0.0,0.0,0.0,0.0,0.0,0.0
TP008,product_specific,True,False,0.3299999989394564,0.0,0.0,1.0,1.0,0.2,1.0
TP009,product_specific,True,False,0.3383999974175822,0.0,0.0,1.0,1.0,0.25,1.0
TP010,product_specific,True,False,0.3572000023268629,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TP011,temporal,True,False,0.27039999986300245,1.0,1.0,1.0,1.0,1.0,0.5
TP012,product_specific,True,False,0.28870000096503645,1.0,1.0,1.0,1.0,1.0,1.0
TP013,procedure,True,False,0.39029999970807694,0.0,0.0,1.0,1.0,0.25,0.14285714285714285
TP014,temporal,True,False,0.34980000054929405,0.0,0.0,1.0,1.0,0.2,1.0
TP015,preparation,True,False,0.4574000013235491,0.0,0.0,0.0,1.0,0.125,1.0
TP016,temporal,True,False,0.35480000224197283,1.0,1.0,1.0,1.0,1.0,1.0
TP017,preparation,True,False,0.3692999998747837,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TP018,preparation,True,False,0.3958000015700236,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TP019,temporal,True,False,0.30619999961345457,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TP020,temporal,True,False,0.33540000003995374,1.0,1.0,1.0,1.0,1.0,1.0
TP021,fact_specific,True,False,0.3279999982623849,0.0,1.0,1.0,1.0,0.5,1.0
TP022,fact_specific,True,False,2.3610999996890314,1.0,1.0,1.0,1.0,1.0,1.0
TP023,preparation,True,False,0.34700000105658546,1.0,1.0,1.0,1.0,1.0,1.0
TP024,preparation,True,False,0.3992000019934494,0.0,0.0,0.0,1.0,0.16666666666666666,1.0
TP025,temporal,True,False,0.2930000009655487,0.0,0.0,0.0,0.0,0.0,0.0
TP026,procedure,True,False,0.3896999987773597,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TP027,fact_specific,True,False,0.3741000000445638,0.0,1.0,1.0,1.0,0.5,1.0
TP028,fact_specific,True,False,0.35679999928106554,0.0,0.0,1.0,1.0,0.25,1.0
TP029,product_specific,True,False,0.3187000002071727,0.0,0.0,0.0,1.0,0.125,1.0
TP030,paraphrase,True,False,0.33599999733269215,0.0,0.0,0.0,1.0,0.16666666666666666,1.0
TP031,monitoring,True,False,0.33149999944726005,0.0,0.0,0.0,1.0,0.1,1.0
TP032,adverse_reaction,True,False,0.5673999985447153,1.0,1.0,1.0,1.0,1.0,1.0
TP033,adverse_reaction,True,False,0.3876000009768177,1.0,1.0,1.0,1.0,1.0,1.0
TP034,adverse_reaction,True,False,0.3735999998752959,1.0,1.0,1.0,1.0,1.0,1.0
TN006,negative_out_of_scope,False,False,0.29379999978118576,,,,,,
TN007,negative_out_of_scope,False,False,0.26000000070780516,,,,,,
TN008,negative_out_of_scope,False,False,0.2684999999473803,,,,,,
TN009,negative_out_of_scope,False,False,0.2488999998604413,,,,,,
TN010,negative_out_of_scope,False,False,0.2919999969890341,,,,,,
TN011,negative_out_of_scope,False,False,2.9217999981483445,,,,,,
