question_type,case_count,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precision_at_1,precision_at_3,precision_at_5,precision_at_10,ragas_id_context_precision,ragas_id_context_recall
administration,4,0.25,0.25,0.5,0.5,0.3125,0.25,0.25,0.5,0.5,0.25,0.08333333333333333,0.1,0.05,0.05,0.5
consent,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.3333333333333333
definition,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irradiation,5,0.0,0.2,0.2,0.8,0.18666666666666668,0.0,0.1,0.2,0.8,0.0,0.06666666666666667,0.08,0.1,0.1,0.8
leukocyte_reduction,4,0.0,0.0,0.25,0.5,0.10416666666666666,0.0,0.0,0.125,0.375,0.0,0.0,0.05,0.05,0.05,0.375
monitoring,1,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0
pretransfusion_testing,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
procedure,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
request_receipt,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
return_disposal,4,0.0,0.0,0.0,0.5,0.06696428571428571,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.05,0.5
verification,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
