retriever,question_type,case_count,hit_at_1,hit_at_10,hit_at_3,hit_at_5,mean_latency_ms,mrr,precision_at_1,precision_at_10,precision_at_3,precision_at_5,ragas_id_context_precision,ragas_id_context_recall,recall_at_1,recall_at_10,recall_at_3,recall_at_5
chromadb,fact_specific,6,0.0,0.3333333333333333,0.0,0.16666666666666666,22.952383332873676,0.06547619047619048,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.16666666666666666
chromadb,monitoring,1,0.0,1.0,0.0,0.0,12.021600001389743,0.16666666666666666,0.0,0.1,0.0,0.0,0.1,1.0,0.0,1.0,0.0,0.0
chromadb,paraphrase,4,0.0,0.5,0.0,0.0,21.436675000586547,0.05625,0.0,0.05,0.0,0.0,0.05,0.5,0.0,0.5,0.0,0.0
chromadb,preparation,5,0.2,0.2,0.2,0.2,16.04724000026181,0.2,0.2,0.02,0.06666666666666667,0.04,0.02,0.2,0.2,0.2,0.2,0.2
chromadb,procedure,4,0.0,0.0,0.0,0.0,10.678599999209837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chromadb,product_specific,7,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.2857142857142857,12.253014285306563,0.25,0.14285714285714285,0.07142857142857142,0.047619047619047616,0.05714285714285715,0.07142857142857142,0.6428571428571429,0.14285714285714285,0.6428571428571429,0.14285714285714285,0.21428571428571427
chromadb,temporal,4,0.0,0.25,0.25,0.25,11.804949999714154,0.125,0.0,0.05,0.08333333333333333,0.1,0.05,0.25,0.0,0.25,0.125,0.25
bm25,fact_specific,6,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8260666666804658,0.75,0.6666666666666666,0.10000000000000002,0.27777777777777773,0.20000000000000004,0.10000000000000002,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.75,0.8333333333333334
bm25,monitoring,1,1.0,1.0,1.0,1.0,0.8911000004445668,1.0,1.0,0.1,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1.0
bm25,paraphrase,4,0.25,0.75,0.25,0.5,0.9713249996821105,0.325,0.25,0.07500000000000001,0.08333333333333333,0.1,0.07500000000000001,0.75,0.25,0.75,0.25,0.5
bm25,preparation,5,0.4,1.0,0.6,0.6,0.8689000009326264,0.5202380952380953,0.4,0.1,0.2,0.12000000000000002,0.1,0.9,0.4,0.9,0.6,0.6
bm25,procedure,4,0.0,0.75,0.5,0.75,0.8332249994964513,0.2708333333333333,0.0,0.2,0.25,0.2,0.2,0.6785714285714286,0.0,0.6785714285714286,0.3214285714285714,0.4464285714285714
bm25,product_specific,7,0.2857142857142857,1.0,0.8571428571428571,1.0,0.9932428570859234,0.6071428571428571,0.2857142857142857,0.1142857142857143,0.3333333333333333,0.2285714285714286,0.1142857142857143,0.9285714285714286,0.21428571428571427,0.9285714285714286,0.7857142857142857,0.9285714285714286
bm25,temporal,4,0.75,0.75,0.75,0.75,0.9270500004276983,0.75,0.75,0.125,0.3333333333333333,0.25,0.125,0.75,0.5,0.75,0.625,0.75
hybrid_rrf,fact_specific,6,0.5,0.8333333333333334,0.6666666666666666,0.8333333333333334,23.801100000127917,0.625,0.5,0.10000000000000002,0.2222222222222222,0.16666666666666666,0.10000000000000002,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666666,0.75
hybrid_rrf,monitoring,1,1.0,1.0,1.0,1.0,12.926500001412933,1.0,1.0,0.1,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1.0
hybrid_rrf,paraphrase,4,0.25,0.75,0.5,0.75,22.425600000133272,0.425,0.25,0.07500000000000001,0.16666666666666666,0.15000000000000002,0.07500000000000001,0.75,0.25,0.75,0.5,0.75
hybrid_rrf,preparation,5,0.2,0.6,0.4,0.4,16.931200000908575,0.33333333333333337,0.2,0.06000000000000001,0.13333333333333333,0.08,0.06000000000000001,0.6,0.2,0.6,0.4,0.4
hybrid_rrf,procedure,4,0.0,0.75,0.0,0.25,11.527099998602353,0.11696428571428572,0.0,0.1,0.0,0.05,0.1,0.4464285714285714,0.0,0.4464285714285714,0.0,0.03571428571428571
hybrid_rrf,product_specific,7,0.42857142857142855,1.0,0.7142857142857143,1.0,13.261771428265742,0.619047619047619,0.42857142857142855,0.1142857142857143,0.2857142857142857,0.2285714285714286,0.1142857142857143,0.9285714285714286,0.35714285714285715,0.9285714285714286,0.7142857142857143,0.9285714285714286
hybrid_rrf,temporal,4,0.5,0.75,0.75,0.75,12.747024999953283,0.625,0.5,0.125,0.3333333333333333,0.2,0.125,0.75,0.375,0.75,0.625,0.625
