id,category,question,expected_mode,expected_behavior,expected_intent,expected_topic,expected_branch,expected_phase,expected_qualifier,actual_kind,actual_domain,actual_topic,actual_branches,actual_requested_phase,pre_budget_reason,post_budget_reason,selected_evidence_count,pass,failure_category
PROC01,procedure,진정절차 알려줘,independent_answer,answer,procedure,진정간호,both,,full_procedure,procedure,hospital,진정간호,"adult,pediatric",,supported,supported,12,True,
PROC02,procedure,진정은 어떻게 해?,independent_answer,answer,procedure,진정간호,both,,full_procedure,procedure,hospital,진정간호,"adult,pediatric",,supported,supported,12,True,
PROC03,procedure,진정 진행 순서는?,independent_answer,answer,procedure,진정간호,both,,full_procedure,procedure,hospital,진정간호,"adult,pediatric",,supported,supported,12,True,
PROC04,procedure,진정 방법 알려줘,independent_answer,answer,procedure,진정간호,both,,full_procedure,procedure,hospital,진정간호,"adult,pediatric",,supported,supported,12,True,
PROC05,procedure,진정간호는 어떤 순서로 시행해?,independent_answer,answer,procedure,진정간호,both,,full_procedure,procedure,hospital,진정간호,"adult,pediatric",,supported,supported,11,True,
PURP01,purpose,진정 목적은?,independent_answer,answer,purpose,진정간호,any,,purpose,purpose,hospital,진정간호,,,supported,supported,1,True,
PURP02,purpose,진정 왜 해?,independent_answer,answer,purpose,진정간호,any,,purpose,purpose,hospital,진정간호,,,supported,supported,1,True,
PURP03,purpose,진정하는 이유 알려줘,independent_answer,answer,purpose,진정간호,any,,purpose,purpose,hospital,진정간호,,,supported,supported,1,True,
PURP04,purpose,진정간호를 시행하는 목적이 뭐야?,independent_answer,answer,purpose,진정간호,any,,purpose,purpose,hospital,진정간호,,,supported,supported,1,True,
PREP01,preparation,진정 전에 뭐 확인해?,independent_answer,answer,preparation,진정간호,any,before,pre_sedation_check,preparation,hospital,진정간호,,before,supported,supported,2,True,
PREP02,preparation,진정 준비 알려줘,independent_answer,answer,preparation,진정간호,any,,preparation,preparation,hospital,진정간호,,,supported,supported,2,True,
PREP03,preparation,진정 전 체크사항은?,independent_answer,answer,preparation,진정간호,any,before,pre_sedation_check,preparation,hospital,진정간호,,before,supported,supported,3,True,
PREP04,preparation,진정 전에 환자 상태를 어떻게 확인해?,independent_answer,answer,preparation,진정간호,any,before,patient_assessment,preparation,hospital,진정간호,,before,supported,supported,2,True,
PREP05,preparation,진정 시행 전에 준비할 것은?,independent_answer,answer,preparation,진정간호,any,before,preparation,preparation,hospital,진정간호,,before,supported,supported,3,True,
CAUT01,cautions,진정할 때 주의할 점은?,independent_answer,answer,cautions,진정간호,any,,safety,cautions,hospital,진정간호,,,supported,supported,1,True,
CAUT02,cautions,진정 중 조심할 것은?,independent_answer,answer,cautions,진정간호,any,during,safety,cautions,hospital,진정간호,,during,supported,supported,1,True,
CAUT03,cautions,진정 안전하게 보려면 뭐 확인해?,independent_answer,answer,cautions,진정간호,any,,safety_monitoring,cautions,hospital,진정간호,,,supported,supported,1,True,
CAUT04,cautions,진정간호 주의사항 알려줘,independent_answer,answer,cautions,진정간호,any,,cautions,cautions,hospital,진정간호,,,supported,supported,1,True,
CAUT05,cautions,진정 후 이상 증상은 무엇을 봐야 해?,independent_answer,answer,cautions,진정간호,any,after,post_sedation_symptoms,cautions,hospital,진정간호,,after,supported,supported,2,True,
SUM01,summary_broad,진정에 대해 알려줘,independent_answer,answer,summary,진정간호,both,,broad_summary,summary,hospital,진정간호,"adult,pediatric",,supported,supported,11,True,
SUM02,summary_broad,소아 진정 알려줘,independent_answer,answer,summary,진정간호,pediatric,,branch_summary,summary,hospital,진정간호,pediatric,,supported,supported,11,True,
SUM03,summary_broad,성인 진정 알려줘,independent_answer,answer,summary,진정간호,adult,,branch_summary,summary,hospital,진정간호,adult,,supported,supported,11,True,
SUM04,summary_broad,진정간호 전체적으로 설명해줘,independent_answer,answer,summary,진정간호,both,,broad_summary,summary,hospital,진정간호,"adult,pediatric",,supported,supported,11,True,
SUM05,summary_broad,진정간호를 간단히 정리해줘,independent_answer,answer,summary,진정간호,both,,broad_summary,summary,hospital,진정간호,"adult,pediatric",,supported,supported,11,True,
BR01,branch_specific,소아 진정 절차 알려줘,independent_answer,answer,procedure,진정간호,pediatric,,branch_procedure,procedure,hospital,진정간호,pediatric,,supported,supported,9,True,
BR02,branch_specific,성인 진정 절차 알려줘,independent_answer,answer,procedure,진정간호,adult,,branch_procedure,procedure,hospital,진정간호,adult,,supported,supported,8,True,
BR03,branch_specific,소아 진정 중 모니터링 알려줘,independent_answer,answer,cautions,진정간호,pediatric,during,monitoring,cautions,hospital,진정간호,pediatric,during,supported,supported,5,True,
BR04,branch_specific,성인 진정 후 관찰 알려줘,independent_answer,answer,cautions,진정간호,adult,after,observation,cautions,hospital,진정간호,adult,after,supported,supported,5,True,
BR05,branch_specific,소아 진정 전 확인사항 알려줘,independent_answer,answer,preparation,진정간호,pediatric,before,pre_sedation_check,preparation,hospital,진정간호,pediatric,before,supported,supported,7,True,
BR06,branch_specific,성인 진정 중 투약과 관찰 방법은?,independent_answer,answer,procedure,진정간호,adult,during,medication_monitoring,procedure,hospital,진정간호,adult,during,supported,supported,7,True,
BR07,branch_specific,소아 진정 후 회복 관찰은?,independent_answer,answer,cautions,진정간호,pediatric,after,recovery_observation,cautions,hospital,진정간호,pediatric,after,supported,supported,4,True,
