dataset_id,case_id,question_type,question,needs_human_review,reference_context_ids,retrieved_context_ids,retrieval_latency_ms,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precision_at_1,precision_at_3,precision_at_5,precision_at_10,ragas_id_context_precision,ragas_id_context_recall
transfusion-retrieval-v1,TF001,definition,수혈 오류와 관련된 위해 사건은 무엇인가요?,False,c78ff32d-ea17-41fd-98ef-2e8872f01df3,63cb7040-3526-4f6f-9f88-e295bbe5edaf|16efaa44-1554-4748-8407-48fac0bced94|fb4884e3-8fea-42fa-b996-7e9c333e7fef|eeb8db46-f757-41f1-9ca5-c022f3d4ea3e|17e22a4e-78d9-4607-b75b-151e52cc4d20|fbb0340e-b19d-43c3-a23a-5ee07899e8cd|9c5f18b5-9491-4cb2-9eba-9a0d2462f8bb|cf1adf23-d1e1-4e53-990c-b241ad636d39|756d12b3-7bab-48b3-86c9-f2911e308f0e|e9ad4f9e-f150-4d2b-b7cd-20a8a3327864,81.4247999987856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfusion-retrieval-v1,TF002,definition,수혈 관련 오류의 정의를 알려줘,False,c78ff32d-ea17-41fd-98ef-2e8872f01df3,63cb7040-3526-4f6f-9f88-e295bbe5edaf|16efaa44-1554-4748-8407-48fac0bced94|602c933f-0b8f-4533-87a5-f27ecd5f2af9|761b9529-5b18-4262-8174-6062c35fb31c|cfff9bf0-05e4-4179-a793-f3c705d04812|10537058-d160-4786-a6cf-95de46d7189c|17e22a4e-78d9-4607-b75b-151e52cc4d20|e4892114-b8eb-4f39-a7c4-427217039236|cf1adf23-d1e1-4e53-990c-b241ad636d39|756d12b3-7bab-48b3-86c9-f2911e308f0e,51.876900000934256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfusion-retrieval-v1,TF003,product_table,농축적혈구의 적응증과 용량은 어떻게 되나요?,True,23c6ca0d-04bf-4081-b90a-9819029dcd73|ba3d1d87-0c2d-4b67-a0c2-4615c8249c2a,63cb7040-3526-4f6f-9f88-e295bbe5edaf|10537058-d160-4786-a6cf-95de46d7189c|16efaa44-1554-4748-8407-48fac0bced94|4797ba3b-c3d9-4d11-be5f-86db44dbda83|66dba192-bac5-4b3a-bd4d-77e9eacb4192|843aa4c8-3ffd-4747-97eb-8699b0a0eeaf|602c933f-0b8f-4533-87a5-f27ecd5f2af9|81a83ec4-b5d1-4305-9f44-93e5fa935ffe|59d57c8a-c9d7-4f8d-b9a1-a2816f1f01f7|ee8c2027-ad6d-4bb7-8077-5e4c42be1cc3,14.6935000011581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfusion-retrieval-v1,TF004,product_table,농축혈소판은 몇 분 이내에 주입해야 하나요?,True,23c6ca0d-04bf-4081-b90a-9819029dcd73|ffcf7308-6e83-47bc-a519-0b4b7ba44562,63cb7040-3526-4f6f-9f88-e295bbe5edaf|16efaa44-1554-4748-8407-48fac0bced94|fb4884e3-8fea-42fa-b996-7e9c333e7fef|eeb8db46-f757-41f1-9ca5-c022f3d4ea3e|e4892114-b8eb-4f39-a7c4-427217039236|9c5f18b5-9491-4cb2-9eba-9a0d2462f8bb|c141d593-8af3-43e4-b0a9-f60c7c49da12|635840ee-2aa9-43b0-86b4-74229536c495|cf1adf23-d1e1-4e53-990c-b241ad636d39|756d12b3-7bab-48b3-86c9-f2911e308f0e,13.691599999219761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfusion-retrieval-v1,TF005,product_table,신선동결혈장은 해동 후 언제까지 사용해야 하나요?,True,63b53156-440d-40c1-bc88-5c07c23ae77f,63cb7040-3526-4f6f-9f88-e295bbe5edaf|16efaa44-1554-4748-8407-48fac0bced94|fb4884e3-8fea-42fa-b996-7e9c333e7fef|17e22a4e-78d9-4607-b75b-151e52cc4d20|fbb0340e-b19d-43c3-a23a-5ee07899e8cd|e4892114-b8eb-4f39-a7c4-427217039236|c141d593-8af3-43e4-b0a9-f60c7c49da12|635840ee-2aa9-43b0-86b4-74229536c495|cf1adf23-d1e1-4e53-990c-b241ad636d39|e9ad4f9e-f150-4d2b-b7cd-20a8a3327864,13.094400001136819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfusion-retrieval-v1,TF006,product_table,동결침전제제의 주입 시간과 해동 후 사용 기한은?,True,71d2e37c-44e2-4972-8e6b-a6449c2f8404|63b53156-440d-40c1-bc88-5c07c23ae77f,f1611d72-8c47-41f8-bfee-99d5ffdfe12a|64fa07b8-63c3-43c8-899e-5bd6282225ed|63cb7040-3526-4f6f-9f88-e295bbe5edaf|eeb8db46-f757-41f1-9ca5-c022f3d4ea3e|e4892114-b8eb-4f39-a7c4-427217039236|9c5f18b5-9491-4cb2-9eba-9a0d2462f8bb|c141d593-8af3-43e4-b0a9-f60c7c49da12|635840ee-2aa9-43b0-86b4-74229536c495|cf1adf23-d1e1-4e53-990c-b241ad636d39|e9ad4f9e-f150-4d2b-b7cd-20a8a3327864,13.943100000687991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfusion-retrieval-v1,TF007,product_table,수혈 시작 후 첫 15분 동안 권장되는 주입 속도는?,True,da79aa00-567d-434c-8441-915ac080f918,63cb7040-3526-4f6f-9f88-e295bbe5edaf|16efaa44-1554-4748-8407-48fac0bced94|59d57c8a-c9d7-4f8d-b9a1-a2816f1f01f7|761b9529-5b18-4262-8174-6062c35fb31c|eeb8db46-f757-41f1-9ca5-c022f3d4ea3e|17e22a4e-78d9-4607-b75b-151e52cc4d20|fbb0340e-b19d-43c3-a23a-5ee07899e8cd|9c5f18b5-9491-4cb2-9eba-9a0d2462f8bb|635840ee-2aa9-43b0-86b4-74229536c495|e9ad4f9e-f150-4d2b-b7cd-20a8a3327864,11.129000000437372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfusion-retrieval-v1,TF008,leukocyte_reduction,저장 전 백혈구여과 적혈구란 무엇인가요?,False,e96acbc9-66b4-4df4-953b-3f7b0a846bbc,4797ba3b-c3d9-4d11-be5f-86db44dbda83|10537058-d160-4786-a6cf-95de46d7189c|66dba192-bac5-4b3a-bd4d-77e9eacb4192|63cb7040-3526-4f6f-9f88-e295bbe5edaf|ee8c2027-ad6d-4bb7-8077-5e4c42be1cc3|e96acbc9-66b4-4df4-953b-3f7b0a846bbc|843aa4c8-3ffd-4747-97eb-8699b0a0eeaf|59d57c8a-c9d7-4f8d-b9a1-a2816f1f01f7|e62b0c91-ff0c-43b2-9bd5-ff173d9f8bc0|f9eb1471-4566-4c09-a18e-9f3d84a47e9c,10.264299999107607,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0
transfusion-retrieval-v1,TF009,leukocyte_reduction,백혈구제거 혈액제제의 장점은 무엇인가요?,False,324bc249-0e84-46e9-b77f-856c76cd5353|d4c1a9ca-23c5-4ae0-9a51-c56675b2e6d1,66dba192-bac5-4b3a-bd4d-77e9eacb4192|4797ba3b-c3d9-4d11-be5f-86db44dbda83|63cb7040-3526-4f6f-9f88-e295bbe5edaf|843aa4c8-3ffd-4747-97eb-8699b0a0eeaf|10537058-d160-4786-a6cf-95de46d7189c|59d57c8a-c9d7-4f8d-b9a1-a2816f1f01f7|e62b0c91-ff0c-43b2-9bd5-ff173d9f8bc0|602c933f-0b8f-4533-87a5-f27ecd5f2af9|16efaa44-1554-4748-8407-48fac0bced94|d9a4a9c8-fbd4-41f2-bab6-6abd72575204,10.791599999720347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfusion-retrieval-v1,TF010,leukocyte_reduction,저장 전 여과와 저장 후 여과의 차이는 무엇인가요?,False,54fdf811-dedd-4016-b144-3e4bfdcd67c8|9131e9a9-eff3-4f4e-a20b-4bdd456c35bc,f1611d72-8c47-41f8-bfee-99d5ffdfe12a|4797ba3b-c3d9-4d11-be5f-86db44dbda83|761b9529-5b18-4262-8174-6062c35fb31c|9131e9a9-eff3-4f4e-a20b-4bdd456c35bc|d9a4a9c8-fbd4-41f2-bab6-6abd72575204|17e22a4e-78d9-4607-b75b-151e52cc4d20|e4892114-b8eb-4f39-a7c4-427217039236|c141d593-8af3-43e4-b0a9-f60c7c49da12|756d12b3-7bab-48b3-86c9-f2911e308f0e|e9ad4f9e-f150-4d2b-b7cd-20a8a3327864,13.930799999798182,0.0,0.0,1.0,1.0,0.25,0.0,0.0,0.5,0.5,0.0,0.0,0.2,0.1,0.1,0.5
transfusion-retrieval-v1,TF011,leukocyte_reduction,백혈구제거 혈액제제는 어떤 이름으로 처방하나요?,False,54fdf811-dedd-4016-b144-3e4bfdcd67c8,63cb7040-3526-4f6f-9f88-e295bbe5edaf|16efaa44-1554-4748-8407-48fac0bced94|fb4884e3-8fea-42fa-b996-7e9c333e7fef|e4892114-b8eb-4f39-a7c4-427217039236|9c5f18b5-9491-4cb2-9eba-9a0d2462f8bb|c141d593-8af3-43e4-b0a9-f60c7c49da12|635840ee-2aa9-43b0-86b4-74229536c495|cf1adf23-d1e1-4e53-990c-b241ad636d39|756d12b3-7bab-48b3-86c9-f2911e308f0e|e9ad4f9e-f150-4d2b-b7cd-20a8a3327864,15.737300000182586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfusion-retrieval-v1,TF012,irradiation,혈액제제에 방사선을 조사하는 목적은 무엇인가요?,False,bc88f538-e881-4c81-85e9-fca20614315d,63cb7040-3526-4f6f-9f88-e295bbe5edaf|16efaa44-1554-4748-8407-48fac0bced94|2cea4ea7-7aaf-4c54-ac4e-b660de52065d|10537058-d160-4786-a6cf-95de46d7189c|4797ba3b-c3d9-4d11-be5f-86db44dbda83|bc88f538-e881-4c81-85e9-fca20614315d|59d57c8a-c9d7-4f8d-b9a1-a2816f1f01f7|602c933f-0b8f-4533-87a5-f27ecd5f2af9|761b9529-5b18-4262-8174-6062c35fb31c|756d12b3-7bab-48b3-86c9-f2911e308f0e,17.600899998797104,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0
transfusion-retrieval-v1,TF013,irradiation,방사선 조사가 필요한 혈액제제 대상은 무엇인가요?,False,b66e5419-8a9c-47f4-866d-ebdb95b174b2,bc88f538-e881-4c81-85e9-fca20614315d|2cea4ea7-7aaf-4c54-ac4e-b660de52065d|21efe016-3004-45f3-a070-29ce2ecb0019|16efaa44-1554-4748-8407-48fac0bced94|66dba192-bac5-4b3a-bd4d-77e9eacb4192|b66e5419-8a9c-47f4-866d-ebdb95b174b2|63cb7040-3526-4f6f-9f88-e295bbe5edaf|59d57c8a-c9d7-4f8d-b9a1-a2816f1f01f7|4797ba3b-c3d9-4d11-be5f-86db44dbda83|602c933f-0b8f-4533-87a5-f27ecd5f2af9,11.855999999170308,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0
transfusion-retrieval-v1,TF014,irradiation,방사선 조사 혈액제제의 유효기간은 어떻게 되나요?,False,b66e5419-8a9c-47f4-866d-ebdb95b174b2|21efe016-3004-45f3-a070-29ce2ecb0019,2cea4ea7-7aaf-4c54-ac4e-b660de52065d|21efe016-3004-45f3-a070-29ce2ecb0019|bc88f538-e881-4c81-85e9-fca20614315d|16efaa44-1554-4748-8407-48fac0bced94|b66e5419-8a9c-47f4-866d-ebdb95b174b2|63cb7040-3526-4f6f-9f88-e295bbe5edaf|59d57c8a-c9d7-4f8d-b9a1-a2816f1f01f7|66dba192-bac5-4b3a-bd4d-77e9eacb4192|4797ba3b-c3d9-4d11-be5f-86db44dbda83|602c933f-0b8f-4533-87a5-f27ecd5f2af9,12.507499999628635,0.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.3333333333333333,0.4,0.2,0.2,1.0
transfusion-retrieval-v1,TF015,irradiation,혈장제제에도 방사선 조사가 필요한가요?,False,21efe016-3004-45f3-a070-29ce2ecb0019,16efaa44-1554-4748-8407-48fac0bced94|63cb7040-3526-4f6f-9f88-e295bbe5edaf|2cea4ea7-7aaf-4c54-ac4e-b660de52065d|59d57c8a-c9d7-4f8d-b9a1-a2816f1f01f7|eeb8db46-f757-41f1-9ca5-c022f3d4ea3e|fbb0340e-b19d-43c3-a23a-5ee07899e8cd|e4892114-b8eb-4f39-a7c4-427217039236|635840ee-2aa9-43b0-86b4-74229536c495|756d12b3-7bab-48b3-86c9-f2911e308f0e|e9ad4f9e-f150-4d2b-b7cd-20a8a3327864,12.921400000777794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfusion-retrieval-v1,TF016,irradiation,방사선 조사 혈액제제의 종류를 알려줘,False,4c0dde2a-0432-4cb2-ad33-987f5979ff76,2cea4ea7-7aaf-4c54-ac4e-b660de52065d|bc88f538-e881-4c81-85e9-fca20614315d|21efe016-3004-45f3-a070-29ce2ecb0019|16efaa44-1554-4748-8407-48fac0bced94|10537058-d160-4786-a6cf-95de46d7189c|66dba192-bac5-4b3a-bd4d-77e9eacb4192|f9eb1471-4566-4c09-a18e-9f3d84a47e9c|8f3ed830-3a06-41c6-8b06-cfcf6d36a83c|b66e5419-8a9c-47f4-866d-ebdb95b174b2|4c0dde2a-0432-4cb2-ad33-987f5979ff76,10.569500000201515,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0
transfusion-retrieval-v1,TF017,procedure,수혈의 전체 업무 절차 순서를 알려줘,False,22e6c188-2e4c-4029-b200-7770a3f00e6e|74c0eabe-77c7-4dbf-a321-27966a12fafb|7e68f70a-ba74-4eb8-bbae-c7e9f7340567|b225ae64-72d2-4e59-81c0-57f5d8438666|7adacb8c-91c0-4ea7-8d82-7505eeac5042|98d006ac-5212-4c8c-8a63-4cbd4d6caffc|9b6cc313-9a59-4387-a5ce-2ed14389a0a7,16efaa44-1554-4748-8407-48fac0bced94|d9a4a9c8-fbd4-41f2-bab6-6abd72575204|761b9529-5b18-4262-8174-6062c35fb31c|63cb7040-3526-4f6f-9f88-e295bbe5edaf|66dba192-bac5-4b3a-bd4d-77e9eacb4192|8f3ed830-3a06-41c6-8b06-cfcf6d36a83c|59d57c8a-c9d7-4f8d-b9a1-a2816f1f01f7|4797ba3b-c3d9-4d11-be5f-86db44dbda83|10537058-d160-4786-a6cf-95de46d7189c|fd678588-5ac2-400d-95c5-3309537781ec,11.152299999594106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfusion-retrieval-v1,TF018,consent,수혈 동의서는 언제 받아야 하나요?,False,30ce28cb-f702-4cce-8105-137e2f73af0d,63cb7040-3526-4f6f-9f88-e295bbe5edaf|16efaa44-1554-4748-8407-48fac0bced94|eeb8db46-f757-41f1-9ca5-c022f3d4ea3e|17e22a4e-78d9-4607-b75b-151e52cc4d20|fbb0340e-b19d-43c3-a23a-5ee07899e8cd|c141d593-8af3-43e4-b0a9-f60c7c49da12|635840ee-2aa9-43b0-86b4-74229536c495|cf1adf23-d1e1-4e53-990c-b241ad636d39|756d12b3-7bab-48b3-86c9-f2911e308f0e|e9ad4f9e-f150-4d2b-b7cd-20a8a3327864,9.083899998586276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
