dataset_version,document_version,chunk_version,retriever,question_id,question_type,expected_answerable,needs_human_review,k,rank,retrieved_chunk_id,score,is_gold,latency_ms
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,hybrid_rrf,TF001,fact_specific,True,False,1,1,c78ff32d-ea17-41fd-98ef-2e8872f01df3,0.01639344262295082,True,82.53100000001723
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,hybrid_rrf,TF001,fact_specific,True,False,3,1,c78ff32d-ea17-41fd-98ef-2e8872f01df3,0.01639344262295082,True,82.53100000001723
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,hybrid_rrf,TF001,fact_specific,True,False,3,2,63cb7040-3526-4f6f-9f88-e295bbe5edaf,0.01639344262295082,False,82.53100000001723
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,hybrid_rrf,TF001,fact_specific,True,False,3,3,9131e9a9-eff3-4f4e-a20b-4bdd456c35bc,0.016129032258064516,False,82.53100000001723
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,hybrid_rrf,TF001,fact_specific,True,False,5,1,c78ff32d-ea17-41fd-98ef-2e8872f01df3,0.01639344262295082,True,82.53100000001723
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,hybrid_rrf,TF001,fact_specific,True,False,5,2,63cb7040-3526-4f6f-9f88-e295bbe5edaf,0.01639344262295082,False,82.53100000001723
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,hybrid_rrf,TF001,fact_specific,True,False,5,3,9131e9a9-eff3-4f4e-a20b-4bdd456c35bc,0.016129032258064516,False,82.53100000001723
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,hybrid_rrf,TF001,fact_specific,True,False,5,4,16efaa44-1554-4748-8407-48fac0bced94,0.016129032258064516,False,82.53100000001723
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,hybrid_rrf,TF001,fact_specific,True,False,5,5,fb4884e3-8fea-42fa-b996-7e9c333e7fef,0.015873015873015872,False,82.53100000001723
transfusion-retrieval-v2,sha256:5fc6a9a0d5ff5721954fad8f2855c204301e59ef0b28a91d8d9bdbaf48cb659b,4,hybrid_rrf,TF001,fact_specific,True,False,10,1,c78ff32d-ea17-41fd-98ef-2e8872f01df3,0.01639344262295082,True,82.53100000001723
